Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;70;74;9;246;343
ForgeFlow;62;47;10;154;211
akretion;57;66;9;175;367
camptocamp;35;47;7;159;170
acsone;21;40;6;71;151
commitsun;18;22;5;26;81
tegin;18;30;3;66;96
"ecosoft-odoo";16;33;3;57;115
ursais;15;59;9;62;146
"sygel-technology";12;17;3;79;83
RaulOForgeFlow;8;"-";1;"-";"-"
initOS;8;23;2;81;186
legalsylvain;8;15;1;37;70
kmee;7;15;3;44;83
eLBati;6;8;1;15;52
pledra;6;1;2;13;37
VanMoof;5;5;3;25;40
"landoo-es";5;5;1;20;64
Studio73;4;13;2;17;25
"adhoc-dev";4;5;2;8;29
TheMule71;3;10;1;24;50
jbaudoux;3;3;1;15;16
"kos94ok-3D";3;2;1;4;1
patrickrwilson;3;3;1;16;35
trobz;3;"-";2;13;32
AreebSiddiqiIR;2;"-";1;2;16
PCatinean;2;1;1;2;7
SilvioGregorini;2;6;1;3;8
SimoRubi;2;8;1;22;17
SimoneVagile;2;3;1;6;25
