Organizations;MPRs;CPRs;Users;Reviews;Cts
Tecnativa;698;764;11;"2.712";"3.632"
akretion;314;417;15;"1.164";"2.065"
ForgeFlow;286;333;11;995;"1.289"
camptocamp;168;209;13;724;906
acsone;151;262;15;458;901
"ecosoft-odoo";146;181;13;521;"1.116"
ursais;94;252;16;286;701
tegin;89;102;4;301;520
Escodoo;76;114;1;298;638
kmee;72;129;6;372;749
eLBati;53;69;1;205;323
initOS;50;97;7;318;724
StefanRijnhart;42;34;1;142;118
VanMoof;38;54;3;182;246
efatto;35;52;1;101;205
legalsylvain;35;46;1;175;254
"sygel-technology";25;33;3;142;225
sunflowerit;23;33;1;102;160
Studio73;21;67;7;110;179
commitsun;21;32;5;29;93
SimoRubi;20;36;1;126;128
TDu;20;24;1;158;157
"NextERP-Romania";19;30;3;31;76
onesteinbv;19;8;1;68;162
blooparksystems;17;20;3;50;18
simahawk;17;17;1;86;114
"vauxoo-dev";17;19;8;57;78
solvosci;16;20;2;85;128
"terrabit-ro";15;15;1;8;22
QubiQ;14;15;5;49;102
