User;CPRs;MPRs;Cts;Reviews;CI
pedrobaeza;10;9;501;252;287
MiquelRForgeFlow;37;38;51;68;119
dreispt;12;8;139;28;51
rousseldenis;7;8;95;58;78
rafaelbn;3;2;119;28;43
LoisRForgeFlow;17;14;72;44;71
"oca-clabot";"-";"-";142;"-";12
simahawk;9;6;65;50;67
"ao-landoo";28;30;50;12;54
chienandalu;23;23;25;48;81
victoralmau;32;33;21;29;72
AaronHForgeFlow;7;6;53;42;58
sbidoul;17;11;45;20;42
sebalix;11;18;28;25;52
ivantodorovich;11;7;24;39;54
"ajaniszewska-dev";3;1;8;63;69
"alexis-via";15;16;37;3;29
HaraldPanten;"-";"-";46;24;31
tafaRU;4;5;33;16;29
legalsylvain;8;1;18;28;36
CarlosRoca13;17;8;10;19;34
marcelsavegnago;1;4;20;26;35
yajo;3;5;21;23;34
antoniospneto;7;3;22;18;28
TheMule71;1;2;34;11;20
"i-vyshnevska";8;5;7;27;37
etobella;4;2;30;13;22
Shide;15;11;10;8;26
"Murtaza-OSI";1;1;2;39;42
flotho;1;2;25;15;23
mariadforgeflow;10;12;14;9;28
rvalyi;1;"-";23;20;26
StefanRijnhart;3;2;15;21;29
yankinmax;1;6;18;16;27
carlosdauden;3;2;3;33;38
BernatPForgeFlow;8;11;9;12;29
"sergio-teruel";14;13;6;6;25
ValentinVinagre;2;2;22;10;18
kittiu;5;2;25;4;13
JasminSForgeFlow;19;10;5;1;18
gurneyalex;5;5;17;3;14
JordiBForgeFlow;6;4;13;8;18
SimoRubi;2;3;20;7;16
TDu;6;9;4;13;26
JoanMForgeFlow;4;6;5;16;26
renatonlima;8;5;9;8;19
felipemotter;1;1;1;26;29
NL66278;4;2;13;6;14
eLBati;6;3;11;7;16
ernestotejeda;5;6;8;8;19
"royle-vietnam";5;3;11;8;17
bizzappdev;21;"-";3;"-";6
fredzamoabg;3;5;8;9;19
lmignon;2;3;13;5;13
ChrisOForgeFlow;8;7;6;2;14
ghost;6;2;13;"-";8
houssine78;"-";"-";14;10;14
max3903;4;6;9;4;15
rolandojduartem;2;"-";7;14;18
celm1990;4;2;5;12;18
emagdalenaC2i;5;6;9;2;13
leemannd;"-";"-";1;20;21
matteoopenf;2;"-";8;12;16
mmequignon;2;2;2;17;22
albariera;4;1;8;9;15
omar7r;2;5;12;3;13
JordiMForgeFlow;5;5;5;6;15
enriquemartin;2;2;6;11;17
mbcosta;7;6;4;4;15
patrickrwilson;3;4;7;7;15
alessandrocamilli;6;"-";6;4;9
"florian-dacosta";6;"-";5;5;10
sebastienbeau;5;1;8;3;9
sergiocorato;7;"-";7;4;9
bealdav;2;3;13;1;9
manuelregidor;3;7;5;4;15
"dsolanki-initos";"-";"-";18;"-";4
"xAdrianC-Kernet";1;"-";9;7;11
"xavier-bouquiaux";7;4;3;"-";8
DarioLodeiros;4;1;7;4;10
flachica;3;"-";4;9;13
raistdev;2;2;6;4;10
Saran440;3;2;4;3;9
cubells;4;3;5;3;10
iannak;7;7;"-";"-";10
"damdam-s";2;2;5;4;10
hbrunn;1;2;5;1;6
thomaspaulb;2;"-";9;"-";4
"Cedric-Pigeon";1;1;5;5;9
MosabWadea;3;"-";8;1;6
carmenbianca;2;"-";6;5;9
hparfr;"-";1;4;8;11
rven;1;1;7;3;8
GuillemCForgeFlow;2;4;5;"-";8
HviorForgeFlow;3;"-";4;4;8
Mantux11;1;1;1;9;12
acsonefho;4;2;1;3;8
"ljsalvatierra-factorlibre";2;2;6;2;8
"luc-demeyer";1;3;4;3;9
Borruso;3;2;2;3;8
"Freni-OSI";11;"-";"-";"-";3
"alexey-pelykh";"-";"-";2;8;9
