User;CPRs;MPRs;Cts;Reviews;CI
pedrobaeza;64;62;"2.006";971;"1.086"
rousseldenis;82;49;589;368;450
simahawk;86;82;454;307;420
MiquelRForgeFlow;133;143;181;281;449
etobella;79;82;287;222;330
rafaelbn;5;3;450;143;169
dreispt;37;33;389;113;172
HaraldPanten;"-";"-";382;183;203
AaronHForgeFlow;24;13;250;256;290
LoisRForgeFlow;49;43;233;197;262
marcelsavegnago;44;33;249;164;219
chienandalu;83;76;107;221;316
sbidoul;74;57;252;79;160
victoralmau;142;125;76;112;258
ivantodorovich;41;27;153;224;270
rvalyi;16;19;259;144;183
legalsylvain;36;23;172;184;226
sebalix;53;45;117;163;226
"ao-landoo";75;73;129;32;125
"oca-clabot";"-";"-";270;"-";16
"francesco-ooops";"-";"-";169;78;91
CarlosRoca13;69;48;46;67;130
"alexis-via";50;52;88;19;87
tafaRU;10;13;123;78;105
kittiu;34;17;126;40;74
gurneyalex;17;13;78;105;131
renatonlima;43;35;61;75;124
antoniospneto;18;13;74;100;126
yankinmax;42;21;92;41;78
eLBati;25;13;84;58;85
olgamarcocb;85;43;7;56;111
flotho;6;3;73;105;119
manuelregidor;62;51;59;13;80
carlosdauden;21;17;36;107;135
"ajaniszewska-dev";11;4;25;138;150
yajo;17;15;74;65;93
albariera;26;21;43;85;118
TheMule71;16;11;86;46;70
Shide;34;29;41;54;95
StefanRijnhart;5;6;63;80;96
"sergio-teruel";34;29;41;52;93
HviorForgeFlow;24;10;67;52;75
JordiBForgeFlow;22;11;67;32;56
ValentinVinagre;8;7;58;78;95
JasminSForgeFlow;54;43;25;7;62
ernestotejeda;24;22;36;49;82
NL66278;10;6;51;43;59
elvise;"-";"-";97;30;40
TDu;16;18;17;65;91
sebastienbeau;16;9;57;31;52
"i-vyshnevska";13;10;18;66;84
Saran440;18;11;35;41;62
mariadforgeflow;17;23;23;55;87
AntoniRomera;22;18;55;16;46
GSLabIt;14;10;48;39;60
felipemotter;5;3;19;86;96
mmequignon;17;8;7;77;92
BernatPForgeFlow;27;28;21;32;70
tranngocson1996;44;15;27;26;53
matteoopenf;8;2;51;47;59
JoanMForgeFlow;20;22;21;45;76
sbejaoui;18;17;36;14;41
hbrunn;15;12;35;22;44
hparfr;5;7;38;58;73
ChrisOForgeFlow;41;26;17;17;54
bosd;16;6;67;12;30
moylop260;18;16;46;20;47
mbcosta;22;16;50;12;40
patrickrwilson;13;9;43;31;50
jbaudoux;11;12;24;45;65
fredzamoabg;20;17;27;29;56
sergiocorato;19;6;31;35;51
lmignon;7;9;39;24;42
thomaspaulb;5;5;36;28;41
"royle-vietnam";13;9;32;32;50
hailangvn;14;14;36;20;44
GuillemCForgeFlow;15;14;38;18;42
SirTakobi;18;6;37;25;41
celm1990;7;7;33;38;53
ilyasProgrammer;31;9;21;9;28
bealdav;10;6;29;25;40
"florian-dacosta";13;9;22;23;40
SimoRubi;7;9;47;19;38
feketemihai;16;13;38;10;33
ghost;20;6;41;"-";17
grindtildeath;18;13;18;16;37
JordiMForgeFlow;18;18;14;27;53
"Kev-Roche";18;8;25;24;41
"dsolanki-initos";10;2;53;10;22
"ps-tubtim";16;14;10;23;44
max3903;13;14;21;15;37
AshishHirapara;16;6;14;29;43
florentx;18;14;9;26;47
emagdalenaC2i;18;9;27;14;32
enriquemartin;11;10;15;32;49
leemannd;1;"-";5;61;64
guewen;3;3;27;29;39
nicomacr;17;5;26;13;27
"damdam-s";15;4;18;19;31
robyf70;5;3;45;9;21
bizzappdev;25;6;25;6;22
Tardo;6;7;12;36;49
alan196;12;10;22;18;36
"petrus-v";14;4;22;16;28
"xAdrianC-Kernet";4;4;18;33;43
SilvioC2C;11;9;18;20;37
"Murtaza-OSI";6;7;3;39;50
YvanDotet;17;14;21;4;27
angelgarciadelachica;18;17;22;1;27
"luc-demeyer";9;7;19;14;28
cubells;13;8;20;11;27
flachica;17;6;16;18;32
TeoGoddet;4;"-";29;24;31
nilshamerlinck;25;25;2;1;32
"BT-aestebanez";1;1;26;27;34
JuanyDForgeflow;18;7;13;17;32
rolandojduartem;4;2;22;27;36
DarioLodeiros;10;5;26;10;23
acsonefho;8;6;16;13;26
smangukiya;2;"-";22;30;36
hildickethan;9;8;20;14;29
jcoux;14;7;7;24;37
Mantux11;11;6;16;18;31
Rad0van;8;3;31;6;17
andreampiovesana;5;3;14;24;33
tarteo;4;4;15;27;37
omar7r;7;9;25;4;21
brian10048;4;5;31;8;21
luisg123v;1;1;15;31;37
"xavier-bouquiaux";16;13;10;5;25
carmenbianca;11;5;18;10;23
"ferran-S73";3;6;30;7;20
jesusVMayor;13;6;5;20;32
OpenCode;"-";2;21;15;22
mymage;10;14;16;4;25
nimarosa;7;3;30;3;14
"ivs-cetmix";18;6;6;6;19
jcdrubay;6;3;24;9;19
"remi-filament";6;5;16;7;18
primes2h;4;4;23;11;22
"alexey-pelykh";"-";"-";13;18;22
yvaucher;3;2;8;23;30
houssine78;1;"-";23;16;22
mileo;"-";1;11;10;14
gaikaz;"-";"-";19;20;24
astirpe;2;4;8;17;25
Borruso;7;7;6;15;27
FernandoRomera;"-";"-";13;23;27
PierrickBrun;7;4;14;7;17
JuMiSanAr;11;9;4;10;24
adrienpeiffer;7;2;4;11;18
santostelmo;3;2;9;20;27
tbanevicius;5;1;21;6;14
gdgellatly;4;4;20;4;14
iwkse;3;3;20;5;14
jjscarafia;2;1;10;16;22
manuelcalerosolis;9;1;11;5;12
"CasVissers-360ERP";"-";"-";13;17;21
KKamaa;5;"-";10;12;17
alessandrocamilli;10;"-";6;8;14
angelmoya;3;"-";8;16;21
hirokibastos;13;5;5;7;18
cvinh;2;"-";17;4;10
"Cedric-Pigeon";1;1;6;12;16
"Freni-OSI";19;4;5;1;12
MosabWadea;4;1;20;3;10
dalonsod;3;3;13;5;13
SimoneVagile;3;2;4;14;20
frahikLV;6;4;8;9;18
vvrossem;6;2;13;5;13
hieu1211;8;5;7;6;16
kmmelcher;3;2;14;8;15
ypapouin;8;2;13;2;10
yweng8111;3;3;1;20;26
PabloPaezSheridan;3;2;14;6;13
hitrosol;2;"-";14;8;13
iannak;13;10;1;"-";15
vanderleiromera;"-";"-";3;23;25
aleuffre;5;2;9;7;14
"mourad-ehm";3;1;5;12;17
rven;5;5;9;3;13
"BT-dmontull";8;5;9;1;12
LudLaf;6;5;9;4;14
atchuthan;3;1;3;16;20
"joao-p-marques";2;4;6;12;20
"ddejong-therp";7;2;9;3;11
driehuis;5;1;16;"-";7
fkantelberg;5;3;9;3;11
"ljsalvatierra-factorlibre";6;5;9;2;12
mcojocaru;12;10;"-";"-";13
pedroguirao;5;4;12;"-";10
arfbin;6;4;9;3;12
eantones;4;"-";7;4;9
"miguel-S73";4;5;10;2;12
ntsirintanis;2;1;6;12;17
robinkeunen;4;3;8;5;13
sonhd91;7;10;1;3;17
"vincent-hatakeyama";3;3;5;10;17
zeroincombenze;5;"-";10;6;11
"fshah-initos";8;1;5;6;12
GabbasovDinar;4;1;11;4;10
MateuGForgeFlow;4;4;2;9;16
chandni299;6;6;3;2;12
fernandahf;2;4;6;7;15
gfcapalbo;1;1;1;4;7
ioans73;3;2;3;9;14
raistdev;5;3;6;4;12
uolaizola;6;2;6;5;12
JorgeQuinteros;5;3;7;3;11
"Reyes4711-S73";5;3;5;4;11
baimont;4;2;2;6;11
fcayre;10;"-";3;4;9
"marcos-mendez";"-";"-";9;10;13
newtratip;5;6;3;3;13
igallart;11;3;1;"-";7
kelvzxu;2;1;12;1;7
"rp-landoo";"-";"-";2;16;17
Abranes;4;2;5;4;10
braisab;9;8;"-";"-";11
fuentes73;"-";"-";4;13;15
maisim;3;"-";8;5;10
scigghia;2;"-";7;6;10
sergioeix;5;1;9;"-";6
AmmarOfficewalaSerpentCS;4;5;5;"-";9
DiegoParadeda;3;2;4;7;13
MRomeera;"-";"-";"-";16;16
StephaneMangin;1;1;3;11;15
antonag32;3;3;8;2;10
antonioburic;4;3;2;6;12
cramosh;5;1;8;"-";6
paradoxxxzero;9;2;3;1;8
"patrickt-oforce";3;"-";9;4;9
yostashiro;3;1;5;7;12
"Nikul-OSI";5;3;5;2;9
OriolVForgeFlow;3;5;5;1;10
antoniocanovas;"-";"-";4;11;13
"chafique-delli";3;2;5;1;7
ecino;"-";"-";"-";1;1
jguenat;6;5;"-";3;10
"kos94ok-3D";2;"-";3;7;10
mamfredym;2;"-";"-";12;13
miguelpadin;5;4;3;2;10
monen17;5;2;2;4;10
quentinDupont;2;"-";4;6;9
wpichler;"-";"-";4;"-";2
"Rajan-SCS";8;1;5;"-";6
"andhit-r";1;"-";2;5;7
"len-foss";2;"-";5;"-";4
lubusax;4;"-";4;4;8
"mt-software-de";6;2;5;"-";7
nedaszilinskas;3;4;4;2;10
patovala;3;"-";2;8;11
rlizana;"-";"-";"-";14;14
zurawmaco;4;2;7;"-";7
"dependabot[bot]";6;1;4;"-";5
dhongu;4;4;"-";4;10
dnplkndll;4;2;5;2;8
jordancoest;"-";"-";1;12;13
marylla;"-";"-";9;4;7
misern2;2;3;4;2;8
olveracuenca;6;1;3;1;6
saxomanu;4;"-";2;2;5
stananatanaela;7;6;"-";"-";9
"Vandan-OSI";8;2;1;"-";6
"antonio-trey";2;2;2;6;11
augustodinizl;"-";"-";"-";12;12
bodedra;"-";"-";1;8;9
daramousk;"-";"-";"-";"-";0
florenciafrigieri2;"-";"-";6;6;8
francescapenso;"-";"-";9;3;6
juanpgarza;4;3;4;1;8
kevinkhao;2;2;2;3;8
matiasperalta1;7;1;3;1;6
murtuzasaleh;2;4;1;1;7
njeudy;2;"-";7;2;6
"tv-openbig";"-";"-";12;"-";3
DavidJForgeFlow;6;2;"-";"-";4
SicurSam;"-";"-";"-";11;11
ThomasBinsfeld;"-";2;"-";1;3
cormaza;4;1;2;3;7
fmdl;"-";1;5;1;4
"hugho-ad";"-";"-";2;9;10
mtelahun;1;1;4;2;6
"osi-scampbell";1;"-";1;1;3
"pedrocs-exo";2;3;2;2;8
reneeduijzers;6;"-";"-";"-";2
stevech091;"-";"-";2;9;10
theangryangel;6;"-";3;"-";4
tosink;2;"-";7;"-";4
"BT-rmartin";2;"-";6;"-";4
Guenzn;2;"-";7;"-";4
"JayVora-SerpentCS";"-";"-";3;"-";2
JoanSForgeFlow;"-";"-";"-";8;8
aisopuro;"-";1;5;4;7
crsilveira;2;"-";7;"-";4
"jfernandez-busman";"-";"-";2;8;9
lfreeke;1;"-";1;7;9
"oerp-odoo";1;"-";3;5;8
oihane;4;1;2;1;5
pegonzalezspesol;3;2;"-";4;8
slominchar;8;"-";"-";"-";3
willytal;4;2;1;2;7
ygol;3;3;2;2;8
JoelZilli;5;"-";3;"-";4
RosSinch;2;"-";2;4;7
SplashS;1;1;6;"-";4
"Vimal-OSI";7;"-";2;"-";4
acysos;"-";"-";8;1;4
bobslee;1;"-";2;5;7
clementmbr;"-";2;2;1;4
douglascstd;"-";"-";1;8;9
kirca;3;1;4;"-";5
koenloodts;"-";5;"-";"-";5
lasley;"-";"-";"-";"-";0
moaadbourhim;3;"-";4;"-";4
mrcast;"-";"-";"-";9;9
"pedroortega-punt";"-";"-";7;2;5
vongoethe;"-";"-";5;4;6
AdriaGForgeFlow;"-";1;"-";"-";1
BankyKmitl;"-";3;3;1;6
"Chanakya-OSI";3;2;1;1;6
"MPoch-PlanetaTIC";"-";"-";1;"-";1
PieterPaulussen;"-";"-";"-";1;1
RodrigoBM;1;1;1;"-";3
