User,CPRs,MPRs,Cts,Reviews,CI
pedrobaeza,17,14,335,272,308
rousseldenis,9,5,136,115,135
vvrossem,131,27,20,21,64
victoralmau,33,38,33,43,92
LoisRForgeFlow,5,6,64,50,66
legalsylvain,9,10,63,39,60
chienandalu,31,24,24,41,75
francesco-ooops,-,-,91,24,34
rvalyi,3,2,55,46,57
gurneyalex,9,8,49,32,50
yankinmax,14,4,20,57,69
SirAionTech,9,9,51,25,44
dhongu,26,26,35,6,43
Shide,17,19,27,19,47
etobella,6,3,37,34,46
HaraldPanten,-,-,37,35,41
jbaudoux,3,5,23,39,51
peluko00,10,12,30,16,37
carmenbianca,12,8,13,35,50
yajo,5,6,23,33,46
CarlosRoca13,9,11,16,23,41
JordiBForgeFlow,7,2,31,15,25
lmignon,5,6,24,21,34
grindtildeath,15,6,14,18,32
pilarvargas-tecnativa,15,14,11,15,36
rafaelbn,-,-,32,21,27
sbidoul,6,5,30,9,22
marcelsavegnago,2,2,24,22,30
flotho,4,3,22,21,31
mileo,9,5,22,12,25
renatonlima,6,5,18,19,31
JordiMForgeFlow,9,2,14,20,29
manuelregidor,9,10,18,7,24
sergiocorato,7,-,15,14,21
thomaspaulb,10,2,21,9,19
bealdav,5,1,13,20,27
max3903,1,-,28,12,18
Saran440,10,7,16,3,17
leemannd,1,-,8,29,33
MaurizioPellegrinet,-,-,9,29,32
sergio-teruel,7,3,3,22,29
TheMule71,9,3,14,6,16
cyrilmanuel,2,-,9,22,26
eLBati,5,1,15,8,15
simahawk,1,-,6,28,31
GuillemCForgeFlow,7,5,11,10,21
MiquelRForgeFlow,3,4,9,17,26
santostelmo,5,4,6,19,28
sebalix,1,1,9,23,28
AungKoKoLin1997,10,5,14,1,13
EmilioPascual,3,4,8,17,26
mt-software-de,-,1,14,18,23
yostashiro,-,-,6,27,29
HviorForgeFlow,3,-,16,13,19
AaronHForgeFlow,1,-,20,7,12
DorianMAG,4,-,8,18,23
bizzappdev,17,-,3,5,11
PicchiSeba,4,1,7,17,23
aleuffre,2,5,3,16,24
alexey-pelykh,3,2,6,16,22
matteoopenf,3,-,20,5,11
odooNextev,2,-,10,11,16
jdidderen-nsi,1,-,1,25,27
Tisho99,9,7,7,3,16
dalonsod,4,2,14,6,14
fcvalgar,-,-,3,23,25
DavidJForgeFlow,6,9,4,5,18
huguesdk,-,-,2,21,22
CRogos,4,2,9,9,16
kaynnan,2,4,9,7,15
ndd-odoo,16,1,6,1,8
nguyenminhchien,4,1,-,19,22
ramiadavid,2,1,10,9,15
toita86,8,4,5,5,14
vincent-hatakeyama,6,5,10,2,13
StefanRijnhart,1,-,11,8,12
antoniospneto,2,1,8,10,15
primes2h,-,2,9,11,16
alexis-via,5,5,8,-,10
bosd,-,-,12,8,11
ilyasProgrammer,3,3,9,6,14
maisim,7,1,12,1,8
TDu,2,4,4,10,17
ivantodorovich,-,-,4,16,18
luisg123v,-,-,7,13,16
trisdoan,7,1,9,2,9
ArnauCForgeFlow,5,8,2,3,15
carolinafernandez-tecnativa,3,4,4,6,14
hparfr,-,-,2,17,18
