Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,101,115,8,246,401
PyTech-SRL,45,55,3,160,310
ForgeFlow,36,77,10,147,233
akretion,34,64,7,98,252
moduon,24,34,3,180,211
acsone,20,41,10,115,153
camptocamp,20,43,12,117,135
terrabit-ro,18,20,2,-,103
Escodoo,13,13,4,42,88
ursais,12,25,4,29,85
dixmit,11,18,1,30,84
NextERP-Romania,10,14,2,1,60
QuocDuong1306,10,15,1,23,60
ecosoft-odoo,10,19,2,18,74
nguyenminhchien,10,9,1,25,61
grap,9,24,1,55,56
bosd,8,17,1,23,59
Borruso,7,7,1,38,71
Studio73,7,10,4,13,40
tuantrantg,7,7,1,16,31
adrian-dks,6,14,1,10,42
celm1990,6,5,1,21,49
mt-software-de,6,8,1,39,50
solvosci,6,4,1,15,44
adhoc-dev,5,14,3,24,55
factorlibre,5,13,4,38,58
ilyasProgrammer,5,7,1,19,32
legalsylvain,5,-,1,15,36
sbidoul,5,6,1,-,2
sonhd91,5,6,1,15,35
