Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,214,232,8,628,902
ForgeFlow,102,170,18,320,605
akretion,82,105,11,206,555
PyTech-SRL,77,87,3,284,488
camptocamp,45,91,14,298,330
acsone,44,77,13,196,353
moduon,38,55,4,281,328
NextERP-Romania,34,40,2,2,171
Escodoo,23,24,4,71,160
sygel-technology,22,27,3,97,145
terrabit-ro,22,23,2,-,115
sunflowerit,21,21,2,43,101
grap,19,42,2,86,100
bosd,17,25,1,61,126
dixmit,17,21,1,67,126
ecosoft-odoo,17,37,2,29,142
efatto,17,14,1,33,120
Borruso,16,9,1,49,128
eLBati,15,25,1,44,98
nguyenminhchien,15,14,1,29,93
cetmix,14,28,6,183,154
factorlibre,14,26,8,85,126
ursais,14,42,5,41,141
Studio73,13,21,5,39,94
coopiteasy,13,24,5,114,141
QuocDuong1306,11,20,1,42,66
lefilament,11,11,2,23,24
legalsylvain,10,-,1,18,65
qrtl,10,20,1,56,83
SirAionTech,9,27,1,33,113
