User,CPRs,MPRs,Cts,Reviews,CI
pedrobaeza,225,219,2.436,2.007,2.290
rousseldenis,53,27,866,590,654
victoralmau,323,306,259,408,748
jbaudoux,100,81,380,623,733
MiquelRForgeFlow,146,145,428,429,607
BhaveshHeliconia,480,166,315,129,335
rvalyi,124,89,520,258,381
carlos-lopez-tecnativa,165,162,170,489,677
etobella,121,112,343,378,520
simahawk,95,87,402,213,330
StefanRijnhart,49,44,307,398,467
LoisRForgeFlow,42,41,357,338,404
kobros-tech,88,28,392,166,223
sebalix,70,54,217,265,342
dreispt,58,26,286,219,270
legalsylvain,47,27,274,206,256
sbidoul,68,44,257,182,250
marcelsavegnago,14,7,89,425,445
alexis-via,122,118,230,38,182
AaronHForgeFlow,40,30,182,252,302
hbrunn,76,55,146,214,290
pilarvargas-tecnativa,92,98,92,206,323
lmignon,47,40,180,164,224
peluko00,69,48,138,153,221
CarlosRoca13,74,67,98,184,270
bosd,54,17,187,133,171
juancarlosonate-tecnativa,67,56,107,157,232
ivantodorovich,19,18,88,253,285
Saran440,64,50,143,71,141
chienandalu,60,58,41,190,262
francesco-ooops,-,-,275,65,82
JordiMForgeFlow,38,40,95,146,202
HviorForgeFlow,15,8,161,133,158
antoniospneto,13,7,114,172,193
sergio-teruel,26,25,65,177,215
bizzappdev,86,47,60,63,127
CRogos,30,20,127,101,138
yostashiro,-,-,66,205,213
AungKoKoLin1997,64,52,74,63,132
luisDIXMIT,37,35,45,136,184
Tisho99,52,43,81,69,128
Christian-RB,18,15,91,119,148
dhongu,72,66,103,2,87
BernatObrador,51,37,60,92,144
xaviedoanhduy,52,31,66,84,130
eLBati,13,16,119,81,112
edescalona,33,5,115,78,99
ppyczko,39,28,57,109,151
mpascuall,16,11,32,162,183
manuelregidor,21,19,77,102,134
rrebollo,34,21,58,104,138
florian-dacosta,32,30,79,78,123
ValentinVinagre,6,5,80,127,143
HaraldPanten,-,-,124,93,104
carlosdauden,32,29,47,105,147
lbarry-apsl,32,23,77,74,111
EmilioPascual,41,30,51,74,118
mt-software-de,23,24,65,90,127
ivs-cetmix,9,7,104,82,102
sbejaoui,33,21,71,55,90
aleuffre,23,22,48,90,124
petrus-v,21,9,49,92,113
yankinmax,27,17,30,91,119
ThiagoMForgeFlow,47,47,24,52,111
Shide,37,33,38,57,102
rafaelbn,-,-,99,70,80
AlexPForgeFlow,24,16,55,68,96
max3903,10,6,99,43,62
mbcosta,44,32,51,20,66
JordiBForgeFlow,10,12,97,31,56
JasminSForgeFlow,25,34,41,42,87
LauraCForgeFlow,51,29,12,46,86
DavidJForgeFlow,26,19,25,59,88
vvrossem,20,11,20,69,89
Chionne27,49,24,23,37,73
renatonlima,22,12,28,72,94
mmequignon,23,13,12,80,101
hparfr,10,6,32,86,101
yajo,18,17,36,62,89
Borruso,30,20,34,26,57
santostelmo,19,14,32,60,84
cvinh,9,3,51,62,75
remi-filament,24,25,35,40,76
gurneyalex,6,5,51,59,74
TDu,9,10,20,77,94
odooNextev,19,13,45,38,62
rjaraspearhead,16,6,26,64,79
david-banon-tecnativa,30,24,19,46,80
sergiocorato,15,10,30,42,61
TheMule71,11,8,53,40,59
matteonext,17,4,38,55,69
matteoopenf,6,3,75,25,39
primes2h,14,8,51,37,56
twalter-c2c,5,3,7,96,104
acsonefho,8,6,43,48,63
dnplkndll,21,6,49,25,43
kluna1998,21,17,16,50,76
SirPyTech,20,17,12,55,80
AnizR,14,9,30,41,59
adasatorres,23,12,29,28,50
marielejeune,11,2,29,57,68
sebastienbeau,10,4,43,39,53
CristianoMafraJunior,20,15,16,46,69
wlin-kencove,1,-,51,47,55
ArnauCForgeFlow,31,23,25,18,52
tafaRU,16,10,48,25,46
moylop260,26,22,33,11,44
quentinDupont,7,13,45,30,52
ByteMeAsap,29,9,9,30,47
NL66278,13,4,32,41,54
StephaneMangin,5,3,25,57,67
grindtildeath,18,13,30,28,51
PicchiSeba,23,12,26,23,45
chaule97,20,16,28,22,48
dalonsod,10,9,43,31,50
henrybackman,13,5,8,57,68
micheledic,15,5,45,23,39
trisdoan,15,18,33,18,46
leemannd,6,4,20,54,65
brian10048,16,14,34,19,43
thomaspaulb,9,6,39,20,35
AndreuOForgeFlow,15,6,12,48,61
feketemihai,19,18,43,1,30
Ricardoalso,18,11,5,42,59
giarve,23,9,21,21,39
Kimkhoi3010,24,20,15,14,43
flotho,2,2,36,31,40
huguesdk,14,9,42,9,28
nobuQuartile,10,10,13,44,61
kanda999,4,5,6,60,69
monen17,4,2,30,39,48
astirpe,13,15,23,18,41
kaynnan,12,11,8,37,54
vincent-hatakeyama,20,16,22,14,39
GSLabIt,8,7,8,48,61
florentx,22,22,14,12,42
thienvh332,16,11,7,18,36
anusriNPS,15,6,15,29,43
DarioLodeiros,16,14,23,12,35
absal-smile,30,4,19,2,16
antoniodavid,14,5,32,14,28
ced-adhoc,-,2,35,30,38
natuan9,17,17,21,9,35
tarteo,14,7,21,20,35
SirAionTech,2,5,8,10,19
imlopes,14,6,12,12,25
rlimaeco,21,15,13,13,36
SilvioC2C,5,5,4,46,55
alan196,22,2,18,12,23
CLaurelB,6,7,12,36,49
mileo,5,1,19,30,38
TumbaoJu,26,24,7,2,34
celm1990,6,5,7,41,51
MaurizioPellegrinet,-,-,2,56,57
aritzolea,10,4,17,26,37
Anushapadinharepurakkal,34,1,-,-,7
MohamedOsman7,11,6,11,28,41
WesleyOliveira98,13,11,7,22,39
arantxa-s73,19,11,21,-,20
SylweKra,18,15,6,16,38
mav-adhoc,5,4,26,13,24
PieterPaulussen,6,1,35,12,21
bealdav,5,4,21,22,33
kevinkhao,22,5,13,6,19
alexey-pelykh,4,2,21,25,34
amh-mw,6,-,13,29,35
metaminux,8,5,29,9,22
nimarosa,2,1,38,11,20
sergiobstoj,15,4,19,8,20
baguenth,10,8,18,14,29
gdgellatly,9,3,22,15,26
lef-adhoc,4,20,18,6,32
AlvaroRM11,12,2,9,24,32
alexandregaldeano,8,5,4,29,39
norlinhenrik,12,3,22,3,14
rov-adhoc,3,6,18,21,33
arielbarreiros96,7,4,24,8,20
DantePereyra,10,4,11,21,31
Kev-Roche,15,4,2,19,28
glitchov,21,10,3,9,25
DiegoParadeda,11,4,18,8,20
patrickt-oforce,6,4,16,16,26
AEstLo,3,2,22,18,26
Anxo82,10,7,16,8,22
FernandoRomera,10,11,16,6,24
GabbasovDinar,6,10,1,26,39
Jaimermaccione,-,-,4,40,42
LorenzoC0,16,9,7,6,22
Pani-k-folk,11,4,2,26,35
andreampiovesana,4,-,13,27,33
bguillot,4,3,22,11,21
jdidderen,13,5,14,10,22
luisg123v,1,1,10,30,35
MeritxellAForgeFlow,7,5,5,22,32
mike-cetmix,6,5,12,17,28
FrancoMaxime,-,-,-,40,40
matiasperalta1,9,2,15,8,17
BetoRaja,12,6,9,7,19
IsabelAForgeFlow,15,11,9,3,21
geomer198,6,3,10,19,28
luc-demeyer,8,6,11,10,22
remytms,5,1,16,16,23
RicardCForgeFlow,12,15,1,10,29
TheerayutEncoder,3,4,6,23,31
acysos,4,1,28,3,11
ajaniszewska-dev,1,-,-,36,37
cubells,12,5,11,9,21
eugenios73,10,5,11,10,21
ntsirintanis,4,1,10,21,27
MarinaAForgeFlow,9,8,9,10,24
coleste,-,-,3,34,36
ellbristow,9,2,13,7,16
em230418,9,3,16,8,18
fcvalgar,-,-,4,33,35
herminioelx,11,6,15,1,14
vdewulf,1,1,32,3,11
len-foss,10,5,5,14,24
GuillemCForgeFlow,3,-,7,20,24
LucasTran380381,6,12,5,10,27
clementmbr,4,2,12,14,21
david-s73,9,6,15,2,15
diggy128,6,2,21,3,12
mourad-ehm,7,4,13,10,20
paradoxxxzero,9,7,5,7,19
vehi-invitu,12,1,8,12,19
acpMicrocom,-,21,-,-,21
danielduqma,6,11,12,4,21
mymage,4,3,10,16,24
emiliesoutiras,4,-,9,18,23
guewen,-,-,10,22,25
jguenat,5,3,13,10,19
JoanSForgeFlow,6,3,1,19,25
cuongnmtm,2,1,19,7,14
cyrilmanuel,4,1,3,22,27
kittiu,-,-,7,14,17
BT-dmoreno,-,1,14,14,19
JessBrandl,3,3,1,23,29
Marco-ooops,-,-,-,30,30
ioans73,1,1,14,14,20
SodexisTeam,3,4,6,4,12
javierjcf,10,5,11,1,12
wouitmil,6,2,4,12,18
damdam-s,10,1,4,11,17
Alexgars73,11,1,12,1,9
augusto-weiss,5,3,9,7,15
hoangtrann,-,-,5,20,22
MateuGForgeFlow,9,4,3,10,19
NICO-SOLUTIONS,1,1,10,12,17
barkat-matthias,10,-,1,10,14
dannyadair,7,3,14,1,10
ecino,3,-,14,7,12
gbrito,4,1,7,14,20
rven,6,3,12,4,13
unaiberis,4,6,7,3,14
Ricardo-MC,8,4,3,8,17
anajuaristi,-,-,11,14,17
miquelalzanillas,1,1,11,11,16
parvezqureshi,12,-,11,-,7
victorvermot,7,3,1,13,20
