User,CI,CPRs,MPRs,Cts,Reviews
pedrobaeza,238,15,13,223,206
etobella,109,10,19,86,78
rvalyi,103,17,12,107,77
marcelsavegnago,93,32,24,38,57
rrebollo,75,11,6,49,59
alexis-via,70,40,36,71,19
StefanRijnhart,68,4,5,46,54
jbaudoux,64,8,11,52,43
yankinmax,60,11,3,2,52
CristianoMafraJunior,55,7,3,5,47
legalsylvain,54,4,5,21,42
ivantodorovich,53,9,11,26,34
rousseldenis,50,12,(null),36,41
AaronHForgeFlow,49,8,2,22,39
yostashiro,46,4,2,15,38
TDu,45,3,17,15,22
mmequignon,42,2,4,9,34
BhaveshHeliconia,41,33,20,46,8
AungKoKoLin1997,40,23,14,22,17
victoralmau,40,16,16,10,17
sebalix,36,9,8,21,20
luisDIXMIT,36,4,4,6,28
dreispt,35,14,2,25,24
CRogos,35,4,4,27,24
bealdav,33,9,5,8,22
christian-ramos-tecnativa,32,9,7,17,18
kaynnan,32,3,3,11,24
simahawk,31,(null),7,29,19
edescalona,30,4,5,25,18
moylop260,30,24,24,1,(null)
Saran440,29,5,5,21,17
bosd,28,17,6,30,12
hbrunn,27,11,4,27,14
HviorForgeFlow,26,3,3,27,16
MiquelRForgeFlow,26,(null),(null),4,24
JordiMForgeFlow,25,7,4,10,15
pilarvargas-tecnativa,25,7,8,9,11
mileo,24,1,1,3,20
ivs-cetmix,23,(null),(null),41,17
quirino95,23,15,10,7,6
adasatorres,23,8,7,6,11
EmilioPascual,23,3,2,5,17
WesleyOliveira98,23,4,1,1,19
PaulGoubert,23,(null),(null),(null),23
eduezerouali-tecnativa,22,10,6,16,9
renatonlima,20,3,3,3,14
lmignon,19,4,5,18,8
SirPyTech,19,10,4,9,9
hparfr,19,6,5,4,10
hoangtrann,19,(null),(null),4,17
sbejaoui,18,12,4,14,7
feketemihai,18,10,10,19,(null)
chienandalu,18,10,1,2,12
aleuffre,18,3,1,7,13
dhongu,17,7,9,13,2
flotho,17,3,3,14,9
bizzappdev,16,8,9,6,2
NL66278,16,1,(null),11,12
HaraldPanten,16,(null),(null),11,13
twalter-c2c,15,(null),1,3,12
TadeuszKarpinski,15,(null),(null),(null),15
copilot-pull-request-reviewer[bot],15,(null),(null),(null),15
JordiBForgeFlow,14,2,3,16,6
ValentinVinagre,14,1,(null),7,10
JasminSForgeFlow,13,15,4,8,2
Tisho99,13,10,7,6,(null)
peluko00,13,1,3,13,5
Anxo82,13,6,4,8,4
lef-adhoc,13,6,1,5,7
arielbarreiros96,13,2,(null),5,9
BernatObrador,13,(null),4,4,7
nobuQuartile,13,(null),(null),(null),13
kobros-tech,12,2,2,18,4
