Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,1855,1974,13,4760,7259
ForgeFlow,867,999,27,2618,4227
akretion,586,807,21,1593,3672
camptocamp,524,762,27,2252,2945
acsone,368,566,22,1426,2629
HeliconiaIO,322,520,1,1469,2717
dixmit,253,290,2,870,1316
APSL,210,252,6,936,1436
moduon,192,256,9,1026,1226
jbaudoux,143,179,1,425,584
Escodoo,137,198,5,555,923
BinhexTeam,128,290,12,860,1350
sygel-technology,128,160,6,788,953
Studio73,118,197,17,645,1202
PyTech-SRL,114,164,6,561,862
qrtl,111,188,3,798,789
BizzAppDev-Systems,104,233,1,415,710
ecosoft-odoo,99,137,5,244,627
adhoc-dev,84,141,18,457,808
terrabit-ro,83,88,2,8,315
hbrunn,73,101,1,288,425
grap,68,82,2,176,453
StefanRijnhart,67,71,1,266,377
NextERP-Romania,65,70,4,5,224
vauxoo-dev,59,66,9,120,130
factorlibre,53,104,14,328,514
Engenere,51,70,2,186,407
cetmix,50,66,11,347,428
ursais,50,111,10,131,456
Chionne27,49,84,1,226,354
