User,CI,CPRs,MPRs,Cts,Reviews
pedrobaeza,1376,99,97,1353,1232
BhaveshHeliconia,463,111,91,209,347
jbaudoux,378,70,67,244,287
victoralmau,334,172,150,97,161
CristianoMafraJunior,313,92,64,82,230
rousseldenis,311,25,20,339,268
hbrunn,285,79,77,177,186
luisDIXMIT,260,28,22,74,224
etobella,260,60,47,210,191
ivantodorovich,250,26,27,89,208
AungKoKoLin1997,246,65,61,110,166
rvalyi,242,68,50,281,167
yostashiro,239,10,4,66,224
AaronHForgeFlow,210,28,10,90,185
lmignon,205,47,40,147,146
christian-ramos-tecnativa,197,35,41,81,141
carlos-lopez-tecnativa,191,44,36,45,142
LoisRForgeFlow,190,41,39,150,132
marcos-mendez,189,23,(null),29,179
MiquelRForgeFlow,188,36,32,88,141
WesleyOliveira98,180,29,23,9,149
marcelsavegnago,174,12,9,121,151
legalsylvain,174,28,25,213,129
yankinmax,172,52,32,187,119
NL66278,171,28,14,149,140
StefanRijnhart,148,19,21,96,113
Reyes4711-S73,143,(null),1,62,134
CRogos,141,46,25,117,98
simahawk,139,9,9,116,116
thomaspaulb,129,39,36,172,74
CarlosRoca13,123,52,51,47,58
EmilioPascual,121,38,31,63,76
sbidoul,118,36,34,177,65
rrebollo,116,28,14,96,87
chienandalu,106,22,15,26,81
Andrii9090-tecnativa,105,82,48,34,42
vvrossem,104,18,17,33,77
yajo,101,13,6,43,85
cyrilmanuel,99,13,10,101,75
mt-software-de,98,26,14,42,72
antoniospneto,97,7,4,40,84
sergiocorato,96,18,8,72,75
flotho,96,3,4,62,82
dreispt,96,72,13,76,66
Saran440,91,49,23,92,51
florian-dacosta,91,25,13,45,66
cristina-hidalgo-tecnativa,88,39,28,10,51
alexis-via,88,63,52,114,17
eduezerouali-tecnativa,87,31,24,40,51
monen17,84,8,6,60,67
SirPyTech,82,51,40,71,26
TDu,80,12,12,22,60
Shide,80,22,12,39,57
sebalix,80,32,30,69,36
grindtildeath,78,19,10,19,59
nobuQuartile,77,7,2,12,69
DavidJForgeFlow,76,33,20,28,45
pilarvargas-tecnativa,74,30,23,9,43
sergio-teruel,72,19,14,29,48
JasminSForgeFlow,71,66,25,22,33
HviorForgeFlow,71,(null),(null),87,62
divad1196,71,18,8,33,53
JordiMForgeFlow,70,23,13,45,45
mmequignon,66,7,6,30,52
hparfr,63,2,3,33,53
nicolas-delbovier-acsone,62,51,19,48,29
eLBati,62,20,5,53,45
carlosdauden,60,4,1,18,53
kaynnan,59,19,10,18,40
guewen,59,14,5,26,45
HaraldPanten,58,(null),(null),70,50
santostelmo,56,4,8,17,42
cgarcia-solvos,56,14,7,26,40
odooNextev,55,13,6,28,40
david-banon-tecnativa,52,21,20,6,25
SilvioC2C,51,11,10,6,35
sebastienbeau,51,14,10,49,30
metaminux,51,25,7,26,34
peluko00,50,12,9,34,32
yvaucher,49,4,2,78,36
ValentinVinagre,49,2,2,10,42
sbejaoui,49,27,8,26,31
kanda999,49,6,2,(null),45
HekkiMelody,49,14,12,29,28
petrus-v,48,9,2,23,38
Ricardoalso,46,17,8,13,30
Borruso,45,60,8,32,24
stenext,44,1,(null),6,41
remi-filament,44,9,12,41,23
cvinh,44,26,3,31,30
Tisho99,43,17,20,24,14
ivs-cetmix,43,4,2,98,29
primes2h,42,2,3,23,33
leemannd,42,4,5,104,25
LauraCForgeFlow,42,17,21,14,13
gurneyalex,42,8,5,26,29
bosd,42,13,9,64,21
moylop260,41,35,27,32,2
bizzappdev,41,22,35,2,(null)
amh-mw,40,3,4,18,30
AEstLo,40,2,2,25,32
ntsirintanis,38,15,4,15,26
quirino95,37,5,2,3,31
pablo-cort-s73,37,8,6,19,24
MohamedOsman7,37,6,4,40,24
gdgellatly,37,14,5,29,23
