Organizations,MPRs,CPRs,Users,Reviews,Cts
Tecnativa,87,109,9,229,415
ForgeFlow,53,87,13,195,304
akretion,52,65,9,130,308
moduon,39,55,6,237,283
camptocamp,34,40,14,144,225
acsone,30,50,10,132,256
PyTech-SRL,23,22,5,65,136
Escodoo,22,42,4,105,166
qrtl,22,25,4,159,181
vauxoo-dev,22,31,1,20,28
HeliconiaIO,20,8,1,73,189
commitsun,20,12,2,6,68
BinhexTeam,18,27,6,82,168
grap,17,8,2,22,113
dixmit,14,21,2,47,68
hbrunn,14,11,1,36,68
jbaudoux,13,12,1,17,47
Studio73,12,30,8,105,134
terrabit-ro,11,11,1,(null),44
cetmix,8,8,2,35,56
sygel-technology,8,11,3,42,49
StefanRijnhart,7,5,1,24,31
Therp,7,22,3,50,82
BizzAppDev-Systems,5,22,1,33,42
bizzappdev,5,(null),1,5,24
Borruso,4,3,1,24,41
bosd,4,9,1,19,52
coopiteasy,4,5,2,11,22
sebalix,4,4,1,8,11
solvosci,4,6,2,10,24
