Organizations,MPRs,CPRs,Users,MPRs/User,Reviews,Cts
Tecnativa,114,152,13,"8,77",367,567
acsone,36,76,7,"5,14",134,237
HeliconiaIO,25,73,1,"25,00",81,201
akretion,55,73,10,"5,50",151,320
camptocamp,53,71,15,"3,53",354,365
ForgeFlow,42,55,11,"3,82",179,260
Escodoo,36,36,4,"9,00",133,170
qrtl,26,33,5,"5,20",176,173
moduon,19,31,3,"6,33",89,129
c4a8-odoo,16,30,2,"8,00",80,112
PyTech-SRL,20,21,2,"10,00",89,121
dixmit,21,21,2,"10,50",41,91
Jenrax-git,3,20,2,"1,50",56,44
fsmw,1,19,1,"1,00",23,40
Borruso,0,18,0,(null),9,6
kmee,4,18,1,"4,00",14,33
ursais,9,18,1,"9,00",13,46
adhoc-dev,8,16,3,"2,67",55,68
Therp,3,15,3,"1,00",26,51
ecosoft-odoo,10,15,2,"5,00",10,52
sebalix,10,14,1,"10,00",(null),23
BITVAX,0,12,0,(null),5,13
Impress-Foods,1,12,1,"1,00",9,8
solvosci,5,12,2,"2,50",45,43
factorlibre,5,11,4,"1,25",18,27
jbaudoux,13,11,1,"13,00",31,53
grap,7,10,2,"3,50",39,58
meetscs,0,10,0,(null),1,(null)
APSL,13,9,5,"2,60",54,80
BinhexTeam,9,9,3,"3,00",31,62
