Organizations,MPRs,CPRs,Users,MPRs/User,Reviews,Cts
Tecnativa,536,630,14,"38,29",1.474,2.432
ForgeFlow,211,336,19,"11,11",799,1.227
akretion,180,270,17,"10,59",524,1.136
acsone,143,258,18,"7,94",628,1.089
camptocamp,175,224,20,"8,75",1.033,1.321
Escodoo,108,151,5,"21,60",464,671
HeliconiaIO,91,111,1,"91,00",361,749
moduon,88,110,8,"11,00",452,598
qrtl,75,102,6,"12,50",624,571
Therp,58,99,6,"9,67",184,304
dixmit,69,87,2,"34,50",197,368
Studio73,69,82,13,"5,31",394,607
PyTech-SRL,63,80,6,"10,50",241,436
hbrunn,77,79,1,"77,00",237,294
ursais,13,71,2,"6,50",70,142
ecosoft-odoo,28,62,4,"7,00",79,190
BinhexTeam,39,60,8,"4,88",180,384
Borruso,8,60,1,"8,00",60,128
jbaudoux,54,56,1,"54,00",136,224
c4a8-odoo,29,52,2,"14,50",154,237
vauxoo-dev,35,48,6,"5,83",46,91
grap,34,39,2,"17,00",91,262
kmee,7,39,3,"2,33",37,91
komit-consulting,13,38,7,"1,86",146,159
APSL,22,33,6,"3,67",137,202
adhoc-dev,19,33,8,"2,38",144,185
factorlibre,13,32,7,"1,86",82,129
sebalix,27,32,1,"27,00",13,70
sygel-technology,35,32,3,"11,67",137,215
Jenrax-git,3,31,2,"1,50",60,57
